makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat
Ikan bawal goreng,Dendeng sapi,Perkedel tahu,Durian,Martabak telur,1054.0,1
Gulai pakis,Tumis oncom,Pecel ,Jus Buah naga,Sup kacang,1007.0,1
Bubur ayam,Sate usus,Rendang,Kurma,Tahu walik,1083.0,1
Nasi goreng udang,Oseng tahu,Orak arik bening soun,Pisang bakar saus manis,Es doger,1097.0,1
Ikan tongkol goreng,Tempe orek,Sop kaki sapi,Salak,Puding vanila,1025.0,1
Pepes tongkol,Steak daging sapi,Paru sapi goreng,Kue bolu,Semangka,1070.0,1
Usus ayam goreng,Ikan tuna sambal goreng,Kangkung bumbu kare,Cilok,serabi,1118.3,1
Ikan kembung balado,Ikan tuna panggang,Tempe pesmol,Kue apem,Bolu pisang,1010.5,1
Tumis buncis,Bubur sapi,Kangkung bumbu kare,Pisang ,Nangka,616.3,2
Sayur pakis,Terong bakar,Telur asin,Pir,Bakpia,605.0,2
Sayur bening bayam,Ayam masak merah,Terong balado,Susu,Sukun goreng,749.0,2
Tempe masak wijen,Bubur sapi,Tuna sambal woku,Buah naga,Yogurt,736.2,2
Tumis kacang panjang tempe,Ikan belanak goreng,Pecel ,Cilok,Yogurt,779.0,2
Belut goreng,Bebek bakar,Pepes tongkol sambal dabu-dabu,Getuk kacang hijau,Es doger,645.8,2
Sayur pakis,Iga bakar,Ikan gabus asap,Jus pepaya belimbing,Bakwan,764.1,2
Pepes ayam,Beef teriyaki,Sayur bobor,Jus melon,Markisa,630.0,2
Nasi bakar,Ayam bakar,Tahu bumbu merah,Jus pepaya kayu manis,Kue bawang,655.5999999999999,2
Soto banjar,Bakso ayam,Pepes tongkol sambal dabu-dabu,Es kelapa muda,Bakwan,722.8,2
Tumis labu siam,Sate usus,Tumis tahu kentang seledri,Asinan bengkuang nanas,Nangka,664.6,2
Semur ayam,Asem-asem kangkung,Lodeh terong,Salad buah,Yogurt,790.0,2
Nasi liwet,Ikan tongkol balado,Terong goreng,Rujak buah,Buah delima ,714.0,2
Ikan tongkol goreng,Asem-asem kangkung,Ayam taliwang,Manggis,Bubur sumsum,770.0,2
Sayur bening bayam,Spageti,Oseng tahu tomat,Sup buah tropika,Pempek kapal selam,657.8,2
Belut goreng,Sayur tahu toge,Opor ayam,Jus mentimun jambu,Pisang,761.5,2
Belut goreng,Tempe orek,Mie hokian,Melon,Es buah,607.8,2
Tumis kacang panjang tempe,Sayur bunga pepaya,Gadon tahu jamur,Talam ubi,Bolu pisang,677.2,2
Sayur pakis,Ikan panggang siram acar,Udang goreng tepung,Pisang ,Wajik ,657.7,2
Nasi bakar,Bakso sapi,Gulai kambing,Rujak jeruk bali,Pastel ,790.7,2
Ketoprak ,Ikan belanak goreng,Tumis tahu kentang seledri,Kue bugis,Nangka,681.0,2
Tumis kacang panjang tempe,Tuna bumbu pepes,Gulai ayam,Jus mangga,Kue beras,793.0,2
Tumis pakcoy,Ikan tongkol balado,Tumis ikan tongkol,Pir,Martabak telur,727.0,2
Telur balado,Asem-asem kangkung,Oseng tahu tomat,Jus mentimun jambu,Kue sus,735.4,2
Tumis labu siam,Ikan patin bakar,Bihun goreng,Jus jambu,Kue beras,620.5,2
Tempe panggang,Babat sapi,Sup kentang,Pepaya,Pie susu,690.0,2
Nasi bakar,Ayam masak merah,Gulai ikan ,Anggur ,Sukun goreng,624.0,2
Pepes ikan mas,Kerang panggang,Ayam panggang bumbu bacem,Jus pepaya belimbing,Es buah,773.8000000000001,2
Kupat tahu,Ikan tongkol balado,Brengkes patin,Jus Buah naga,Kue nagasari,776.0,2
Tempe masak wijen,Ikan patin bakar,Semur daging,Jus Buah naga,Es krim,773.2,2
Tuna bakar bumbu bali,Mie bakso,Sup kentang,Susu,Pempek ,728.2,2
Bubur kacang hijau,Cumi goreng,Daging sapi panggang,Jus jambu,serabi,697.0,2
Pecel sayur,Bening bayam tauge,Bandeng presto,Manggis,Es doger,759.3,2
Telur dadar,Sambal teri,Sate bandeng,Jus mangga,Mangga kweni,795.0,2
Kacang panjang bumbu kuning,Tuna bumbu kari,Tempe goreng tepung,Jus wortel tomat,Tahu gejrot,671.5,2
Kering tempe,Ikan salmon panggang,Sayur bobor,Pisang panggang saus kurma,Ronde,764.5,2
Bubur nasi,Iga bakar,Bubur manado,Kurma,Mangga kweni,644.0,2
Ikan mas goreng,Sayur bunga pepaya,Ampela goreng ,Klepon,Pempek kapal selam,733.0,2
Pepes tongkol,Abon ayam,Orak arik bening soun,Jus melon,Puding vanila,762.5,2
Soto daging ,Bakso ikan,Tempe goreng tepung,Jus jambu,Es doger,609.0,2
Soto kudus,Garang asem ayam,Tumis bandeng,Sup buah serut,Apel fuji,732.3,2
Kacang panjang bumbu kuning,Tumis bayam,Kerang asap,Rujak jeruk bali,Sosis solo,667.2,2
Sayur pakis,Pepes bandeng presto,Sop kambing,Buah naga,Pempek kapal selam,628.4,2
Belut goreng,Cumi goreng,Pepes teri,Jus Buah naga,Bluberi,693.0,2
Urap,Ikan belanak goreng,Tumis ikan tongkol,Durian,Takoyaki,759.0,2
Tumis pare,Ayam cincang buncis,Paru sapi goreng,Mentimun serut,Kue beras,737.1,2
Pepes ayam,Ayam penyet,Saboko gurita,Salak,Semangka,640.0,2
Sayur bening bayam,Bebek bakar,Makaroni bumbu merah,Pisang bakar saus manis,Sup kacang,747.5,2
Pepes ikan mas,Sup nasi ayam,Pecel ,Susu,Kue pukis,691.0,2
Soto betawi ,Bakmi,Pepes teri,Jambu biji ,Kue bawang,659.0,2
Tumis genjer,Ayam rendang,Sayur nangka,Sup buah tropika,Kue nastar,654.9,2
Sayur pakis,Ikan salmon panggang,Sandwich ikan tuna panggang,Mentimun serut,Es doger,751.3000000000001,2
Bubur nasi,Ikan tuna panggang,Pecel ,Sup buah tropika,Bolu kukus,774.9,2
Nasi kebuli,Tumis oncom,Ikan bakar bumbu kecap,Kurma,serabi,626.5,2
Tumis kol,Tuna bumbu kari,Makaroni bumbu merah,Sari seledri timun,Risol bihun ,758.0,2
Soto daging ,Nasi rames,Nasi goreng sayur,Jus wortel tomat,Bolu kukus,711.2,2
Tempe masak wijen,Terong bakar,Ayam taliwang,Mangga,Pempek kapal selam,661.2,2
Tumis pakcoy,Cumi hitam,Sayur siram bumbu tumis,Lemang manis isi pisang,Yogurt,728.7,2
Tumis genjer,Terong bakar,Rendang,Es teler,Tahu sumedang,755.0,2
Bubur nasi,Pepes bandeng presto,Lobstre panggang,Jus melon,Buah delima ,795.4,2
Tumis pare,Bakmi,Ikan mujair pepes,Pir,Kue nagasari,643.0,2
Sayur pakis,Iga bakar,Makaroni bumbu merah,Sup buah serut,Kue sus,663.3,2
Dendeng sapi,Sambal teri,Pepes teri,Buah naga,Sale pisang,723.0,2
Urap,Sup nasi ayam,Mie rebus tauge,Apel,Tahu walik,774.3,2
Gulai pakis,Tekwan,Ikan baung bakar,Anggur ,Jus alpukat ,726.0,2
Tumis kol,Tahu cabe garam,Sop kambing,Salad buah,Kue nagasari,673.0,2
Tumis daun pepaya,Ayam goreng ,Kangkung bumbu kare,Jeruk,Kue nastar,716.3,2
Ikan tongkol goreng,Sate ayam,Ayam panggang bumbu bacem,Jeruk,Ronde,633.7,2
Kacang panjang bumbu kuning,Pepes bandeng presto,Lobstre panggang,Mentimun serut,Jus jeruk,667.0,2
Bubur kacang hijau,Sup nasi ayam,Ikan bandeng goreng,Kelengkeng,Es buah,622.0,2
Tahu balado,Asem-asem kangkung,Perkedel tahu,Sari seledri timun,Sosis solo,791.0,2
Tumis kangkung,Ayam penyet,Nasi goreng kunyit,Lemang manis isi pisang,Jus alpukat ,728.6,2
Udang panggang,Sayur bunga pepaya,Tempe kukus cabe hijau,Klepon,Buah delima ,691.5,2
Coto makasar,Ikan kuah kuning,Ikan bakar bumbu kecap,Jus pepaya kayu manis,Risol bihun ,740.8,2
Coto makasar,Ikan panggang siram acar,Tuna bumbu rica-rica,Kue bugis,Jus semangka,761.7,2
Kacang panjang bumbu kuning,Kepiting panggang,Urab,Puding coklat,Sosis solo,770.5,2
Telur ceplok,Sambal teri,Paru sapi goreng,Jus mangga,Sari apel,605.0,2
Tumis kol,Bakso ayam,Sayur rica rodoh,Stroberi,Lemper,744.8,2
Bubur kacang hijau,Ikan patin bakar,Orak arik bening soun,Lemang manis isi pisang,Lemper,696.1,2
Pindang patin,Tempe orek,Ikan baung bakar,Getuk kacang hijau,Puding vanila,621.0,2
Gulai tunjang,Bubur sapi,Tumis ikan tongkol,Sup buah serut,Pempek ,644.3,2
Kupat tahu,Sayur tahu toge,Sandwich ikan tuna panggang,Kue tapioka,Yogurt,677.8000000000001,2
Kering tempe,Nasi rames,Brengkes patin,Stroberi,Puding vanila,665.0,2
Gulai tunjang,Rendang,Bihun goreng,Pepaya,Tahu isi,764.5,2
Soto kudus,Bihun goreng,Kerang asap,Pir,Tape singkong,661.0,2
Tumis pare,Sate taichan,Pecel ,Salad buah,Sari apel,666.0,2
Tumis labu siam,Cumi hitam,Tempe pesmol,Durian,Wajik ,761.5,2
Tumis daun pepaya,Ikan patin goreng,Teri balado,Talam nangka,Pisang,701.3,2
Telur orak-arik,Ayam masak merah,Pepes teri,Klepon,Jus alpukat ,657.0,2
Nasi pecel,Sayur bunga pepaya,Paru sapi goreng,Jus nanas,Cireng isi ayam,718.0,2
Ayam suwir,Bakmi,Tuna sambal woku,Es kelapa muda,Cempedak,795.0,2
Soto bandung,Tempe penyet,Tumis tahu kentang seledri,Jus belimbing berembun,Martabak manis,632.6,2
Soto banjar,Sup nasi ayam,Rendang,Sup buah tropika,Puding vanila,776.9,2
Sayur asem,Sup telur,Brengkes patin,Jus nanas,Kue beras,717.0,2
Urap megono,Sate kambing,Ikan bakar bumbu kecap,Apel,Tahu walik,635.5,2
Soto betawi ,Ayam lada hitam,Spageti udang,Talam nangka,Kue kacang,647.8,2
Ikan mas goreng,Cap cay sayur,Daging sapi panggang,Pepaya,Buah delima ,716.0,2
Kwetiau udang sambal rujak,Sup telur,Daging sapi panggang,Putu mayang,Susu kedelai,777.3,2
Pepes tahu,Nasi hijau harum,Bubur manado,Talam ubi,Kue beras,607.3,2
Urap,Bening bayam tauge,Bubur manado,Klepon,Pastel ,744.3,2
Tumis pakcoy,Bebek bakar,Ikan cakalang asap,Jus stroberi,Bubur sumsum,645.0,2
Tumis kacang panjang tempe,Bakso aci,Daun singkong bumbu iris,Talam nangka,Wajik ,656.3,2
Nasi uduk,Pepes bandeng presto,Tuna bumbu rica-rica,Getuk kacang hijau,Tape singkong,644.4,2
Telur dadar,Tuna bumbu pepes,Sandwich ikan tuna panggang,Jambu biji ,Onde-onde,613.2,2
Soto betawi ,Steak daging sapi,Ikan bandeng goreng,Stroberi,Jus semangka,784.0,2
Telur ceplok air acar kuning,Bihun goreng,Hati ayam goreng,Asinan bengkuang nanas,Tahu walik,648.1,2
Lontong sayur,Beef teriyaki,Nasi goreng kunyit,Jus belimbing berembun,Kue kacang,618.6,2
Urap megono,Garang asem ayam,Lodeh terong,Apel,Bolu pisang,703.0,2
Soto banjar,Nasi hijau harum,Tuna sambal woku,Kurma,Tahu walik,700.0,2
Nasi uduk,Bakso sapi,Ikan bakar bumbu kecap,Lemang manis isi pisang,Kue nastar,713.1,2
Nasi bakar,Ikan patin bakar,Sayur nangka,Jambu biji ,Lemper,732.0,2
Tempe bacem,Sup ayam,Kerang asap,Rujak jeruk bali,Cenil,725.7,2
Ketoprak ,Tekwan,Lumpia basah,Pepaya,Semangka,621.1,2
Telur rebus,Steak daging sapi,Ikan bakar bumbu kecap,Kurma,Pisang,614.5,2
Pepes ikan mas,Babat sapi,Sop kambing,Jus belimbing berembun,Bakpia,764.6,2
Gado-gado,Ikan patin goreng,Semur daging,Kue apem,Ronde,663.0,2
Pepes tongkol,Nasi rames,Mie rebus tauge,Pepaya,Takoyaki,682.3,2
Belut goreng,Ikan belanak goreng,Pecel ,Rujak pepaya alpukat,Martabak telur,674.8,2
Bubur ketan hitam,Tahu cabe garam,Tumis bandeng,Cimol,Martabak telur,756.0,2
Sayur pakis,Tempe penyet,Kalio telur,Rambutan,Sari apel,795.0,2
Nasi bakar,Telur puyuh bumbu kuning,Perkedel tahu,Anggur ,Es krim,653.1,2
Kwetiau udang sambal rujak,Sup telur,Gulai kambing,Sari seledri campur,Kue beras,637.3,2
Gado-gado,Cumi goreng,Tahu bumbu merah,Talam nangka,Tahu sumedang,666.6,2
Pecel sayur,Babat sapi,Tempe mendoan,Kue bugis,Duku,709.0,2
Tumis buncis,Nasi hijau harum,Sayur siram bumbu tumis,Sup buah serut,Kacang mete sangrai asin,696.4000000000001,2
Nasi pecel,Ayam penyet,Gulai daging sapi,Salak,Bolu pisang,787.0,2
Gulai pakis,Tumis buncis wortel bintik,Bubur manado,Kue bugis,Sosis solo,762.0,2
Coto makasar,Onigiri,Kerang asap,Asinan bengkuang nanas,Sale pisang,637.6,2
Bubur nasi,Sup nasi ayam,Tempe goreng tepung,Nanas,Kue cucur,657.0,2
Usus ayam goreng,Ikan kuah kuning,Kangkung bumbu kare,Putu mayang,Kue nastar,783.3,2
Ayam goreng,Bening bayam tauge,Gulai daging sapi,Kue bugis,Bluberi,649.3,2
Tumis kacang panjang tempe,Garang asem ayam,Urab,Sari buah tropika,Puding vanila,661.0,2
Teri basah goreng renyah,Sambal teri,Terong goreng,Cimol,Kacang mete sangrai asin,750.0,2
Rawon,Ikan patin bakar,Orak arik bening soun,Anggur ,Kue kacang,773.5,2
Lontong sayur,Ikan patin bakar,Orak arik bening soun,Dadar gulung,Bakpia,710.5,2
Tempe masak wijen,Sate usus,Tempe pesmol,Es teler,Duku,668.7,2
Ikan tongkol goreng,Sate padang,Ikan baung bakar,Sari seledri timun,Ronde,788.0,2
Kacang panjang bumbu kuning,Ikan mujair goreng,Sop kambing,Melon,Tahu walik,751.5,2
Nasi pecel,Sup ayam,Tempe pesmol,Sari seledri campur,Kacang mete sangrai asin,797.5,2
Ikan bawal goreng,Ayam lada hitam,Daging sapi panggang,Anggur ,Wajik ,664.0,2
Tumis kol,Ikan kuah kuning,Teri balado,Nanas,Bubur sumsum,754.0,2
Gulai tunjang,Ikan patin goreng,Tempe mendoan,Dadar gulung,Pempek kapal selam,797.0,2
Soto kudus,Tekwan,Tempe pesmol,Cilok,Kue kacang,720.5,2
Ayam goreng,Bubur sapi,Daun singkong bumbu iris,Manggis,Cempedak,686.0,2
Telur ceplok air acar kuning,Ayam saus mentega,Urab,Jus stroberi,Bubur sumsum,708.5,2
Soto ayam,Karedok,Bubur manado,Apel,Pempek kapal selam,678.0,2
Tempe bacem,Dendeng sapi,Bandeng presto,Pir,Kue beras,791.0,2
Ayam suwir kemangi,Ayam penyet,Nasi goreng sayur,Sari buah tropika,Susu kedelai,675.2,2
Kering tempe,Spageti,Bubur manado,Jus melon,Yogurt,731.0,2
Nasi ciprat,Ayam panggang,Terong goreng,Jeruk,Takoyaki,746.2,2
Telur ceplok air acar kuning,Bakmi,Ikan baung bakar,Manggis,Risol bihun ,787.5,2
Tumis genjer,Onigiri,Jengkol balado,Jus Buah naga,Yogurt,610.0,2
Telur ceplok air acar kuning,Spageti,Ikan gabus asap,Apel,Es buah,655.5,2
Tahu balado,Ayam penyet,Nasi goreng sayur,Rambutan,Wajik ,756.2,2
Nasi kebuli,Sayur tahu toge,Tumis bandeng,Jus belimbing berembun,Jus wortel ,768.6,2
Nasi ciprat,Bakso ayam,Bihun goreng,Kue bolu,Semangka,773.7,2
Gulai tunjang,Sup nasi ayam,Sayur rica rodoh,Talam nangka,Tahu walik,709.0999999999999,2
Bubur nasi,Ikan salmon panggang,Tumis tahu kentang seledri,Jus belimbing berembun,Sale pisang,663.6,2
Ketoprak ,Tekwan,Sayur bobor,Kue bugis isi kacang hijau,Sukun goreng,647.0,2
Nasi goreng ,Tumis oncom,Ayam panggang bumbu bacem,Rambutan,Jus alpukat ,731.7,2
Nasi ciprat,Sambal teri,Paru sapi goreng,Jus wortel tomat,Kue cucur,650.2,2
Perkedel kentang,Tumis buncis wortel bintik,Perkedel tahu,Es kuwut,Mangga kweni,695.0,2
Urap megono,Bening bayam tauge,Sop kambing,Es teler,Wajik ,719.3,2
Tempe panggang,Bakso sapi,Tempe pesmol,Puding coklat,Tahu gejrot,620.5,2
Tumis daun pepaya,Ikan tuna sambal goreng,Ayam panggang bumbu bacem,Kelengkeng,Tahu sumedang,795.7,2
Tempe bacem,Sate kambing,Saboko gurita,Melon,Cempedak,649.0,2
Telur rebus,Ayam rendang,Kerang asap,Jus nanas,Martabak telur,710.0,2
Ayam rica-rica,Bening bayam tauge,Teri kacang balado,Mentimun serut,Kue nagasari,792.4,2
Nasi kebuli,Tahu cabe garam,Ampela goreng ,Kue bugis,Seblak,789.0,2
Tumis sawi putih,Cumi hitam,Mie rebus tauge,Es kuwut,Bluberi,792.3,2
Semur jengkol,Sambal goreng kentang,Paru sapi goreng,Manggis,Kue kacang,676.0,2
Soto ayam,Ayam bakar,Bihun goreng,Jus jambu,Lemper,775.5,2
Ayam goreng,Oseng tahu,Daun singkong bumbu iris,Pisang bakar saus manis,Kue beras,778.5,2
Pepes tongkol,Onigiri,Ikan bandeng goreng,Sup buah tropika,Martabak manis,753.9,2
Tumis kacang panjang tempe,Ikan mujair goreng,Ikan baung bakar,Jus stroberi,Es krim,678.0,2
Perkedel kentang,Ikan tongkol balado,Sayur siram bumbu tumis,Kue apem,Markisa,698.1,2
Nasi goreng tuna,Ikan salmon panggang,Makaroni bumbu merah,Salad buah,Bakpia,649.7,2
Pepes tahu,Bakso ikan,Makaroni bumbu merah,Melon,Kue nagasari,688.0,2
Pepes ayam,Beef teriyaki,Kari daging domba,Lemang manis isi pisang,Cempedak,745.6,2
Kupat tahu,Steak daging sapi,Gulai kambing,Pepaya,Semangka,784.0,2
Nasi goreng ayam,Ayam masak merah,Nasi goreng kunyit,Jus Buah naga,Martabak telur,761.0,2
Tumis sawi putih,Bakso sapi,Pecel ,Buah naga,Risol bihun ,729.0,2
Kupat tahu,Bihun goreng,Tahu bumbu kukus,Sari buah tropika,Risol bihun ,794.9,2
Nasi ciprat,Ayam cincang buncis,Tahu bumbu merah,Kue bolu,Pastel ,644.5,2
Nasi liwet,Ayam betutu,Tempe kukus cabe hijau,Jus Buah naga,Kue kacang,632.5,2
Tempe masak wijen,Ikan tongkol balado,Jengkol balado,Susu,Sawo,634.2,2
Tempe goreng,Ayam rendang,Sayur nangka,Jus apel,Tahu sumedang,754.0,2
Telur rebus,Dendeng sapi,Kari daging domba,Pir,Bluberi,794.0,2
Tempe goreng,Sup nasi ayam,Makaroni bumbu merah,Salak,Bakwan,800.0,2
Tempe bacem,Sate ayam,Lumpia basah,Jus mangga,Martabak telur,600.1,2
Laksa palembang,Sambal teri,Kerang asap,Kue bugis,serabi,708.0,2
Telur ceplok,Ikan mujair goreng,Semur daging,Rujak jeruk bali,Kue beras,675.7,2
Bubur ketan hitam,Tempe penyet,Teri balado,Sari seledri timun,Semangka,764.0,2
Gado-gado,Cap cay sayur,Tahu siksa,Sari buah tropika,Susu kedelai,602.8,2
Nasi goreng tuna,Ikan belanak goreng,Ampela goreng ,Dadar gulung,Es buah,605.7,2
Perkedel kentang,Iga bakar,Sayur rica rodoh,Nanas,Seblak,746.8,2
Bubur ketan hitam,Ikan panggang siram acar,Paru sapi goreng,Batagor,Tahu gejrot,780.7,2
Pepes ayam,Sayur bunga pepaya,Terong balado,Anggur ,Kue pukis,600.0,2
Ayam rica-rica,Tahu cabe garam,Opor ayam,Pisang panggang saus kurma,serabi,604.5,2
Telur rebus,Sambal teri,Ayam geprek,Pir,Semangka,751.0,2
Sayur asem,Sayur tahu toge,Ikan bakar bumbu kecap,Nanas,Sawo,676.5,2
Soto kudus,Sup nasi ayam,Tahu siksa,Putu mayang,Puding vanila,714.8,2
Pepes tongkol,Mie bakso,Ampela goreng ,Jambu biji ,Es doger,686.0,2
Telur balado,Bihun goreng,Sayur nangka,Jus stroberi,Bluberi,684.0,2
Nasi pecel,Spageti,Sop kaki sapi,Susu murni,Apel fuji,716.0,2
Gulai pakis,Babat sapi,Gulai ayam,Jus melon,Bluberi,644.0,2
Pepes tahu,Ikan belanak goreng,Tempe pesmol,Pisang bakar saus manis,Lemper,689.0,2
Soto ayam,Cumi goreng,Sambal udang,Jambu biji ,Bolu kukus,720.0,2
Tahu balado,Iga bakar,Urab,Talam ubi,Kue nagasari,689.3,2
Ayam suwir kemangi,Telur puyuh bumbu kuning,Tumis ikan tongkol,Batagor,Seblak,785.1,2
Lontong sayur,Iga bakar,Tahu siksa,Cilok,Bakwan,731.8,2
Bubur kacang hijau,Ayam masak merah,Lodeh terong,Jus Buah naga,serabi,629.0,2
Teri basah goreng renyah,Ayam bakar,Sandwich ikan tuna panggang,Kue bugis isi kacang hijau,Mangga kweni,612.2,2
Usus ayam goreng,Ayam woku,Daun singkong bumbu iris,Rujak jeruk bali,Bakpia,723.7,2
Kering tempe,Cap cay sayur,Tempe kukus cabe hijau,Pisang bakar saus manis,Sale pisang,706.0,2
Belut goreng,Onigiri,Sayur bobor,Jus pepaya belimbing,Pempek kapal selam,711.1,2
Bubur ketan hitam,Beef burger,Urab,Jus stroberi,Kue pukis,759.0,2
Kwetiau goreng,Bening bayam tauge,Gulai kambing,Rujak buah,Pisang,745.3,2
Soto ayam,Bakmi,Gadon tahu jamur,Pisang ,Kacang mete sangrai asin,743.9,2
Bubur ayam,Bubur sapi,Rendang,Lemang manis isi pisang,Sari apel,754.6,2
Rawon,Spageti,Paru sapi goreng,Sari seledri timun,Ronde,788.0,2
Nasi kebuli,Ikan salmon panggang,Sayur rica rodoh,Jeruk,Es doger,761.8,2
Soto banjar,Garang asem ayam,Sop kaki sapi,Pisang bakar saus manis,Pisang,742.5,2
Nasi liwet,Bubur sapi,Bihun goreng,Jus mentimun jambu,Tape singkong,650.0,2
Tumis pakcoy,Ayam penyet,Hati ayam goreng,Jus nanas,Pie susu,772.0,2
Soto kudus,Ikan panggang siram acar,Udang goreng tepung,Kurma,Markisa,716.7,2
Tumis daun pepaya,Pepes bandeng presto,Tumis bandeng,Melon,Kue pancong,615.4,2
Tumis pare,Sayur tahu toge,Pepes tongkol sambal dabu-dabu,Sari seledri timun,Kacang mete sangrai asin,738.8,2
Telur orak-arik,Bakmi,Daging sapi panggang,Talam ubi,Cenil,796.3,2
Ketoprak ,Onigiri,Pepes tongkol sambal dabu-dabu,Jus belimbing berembun,Tahu walik,709.4,2
Nasi kebuli,Rendang,Ayam taliwang,Jus jambu,Kue beras,793.0,2
Pecel sayur,Iga bakar,Gadon tahu jamur,Rujak pepaya alpukat,Kue kacang,789.6999999999999,2
Teri basah goreng renyah,Cap cay sayur,Tahu siksa,Apel,Bakwan,620.8,2
Paha ayam panggang,Tumis oncom,Tahu bumbu kukus,Sup buah tropika,Pisang,725.8,2
Ayam suwir kemangi,Babat sapi,Lumpia basah,Mentimun serut,Sup kacang,751.2,2
Tumis pakcoy,Tumis oncom,Kari daging domba,Jus wortel tomat,Kue beras,720.0,2
Laksa palembang,Bakso ikan,Gulai ayam,Jus pepaya kayu manis,Es krim,727.3,2
Ayam rica-rica,Mie ayam,Saboko gurita,Kue bugis isi kacang hijau,Kue bawang,792.0,2
Nasi ciprat,Kari daging sapi,Ikan bandeng goreng,Jus Buah naga,Sukun goreng,785.2,2
Pepes tahu,Ikan tuna panggang,Tempe kukus cabe hijau,Salak,Kue kacang,783.5,2
Soto bandung,Cumi hitam,Sambal udang,Manggis,Yogurt,703.0,2
Ayam goreng,Ikan panggang siram acar,Pepes tongkol sambal dabu-dabu,Kue bolu,Mangga kweni,635.5,2
Ayam rica-rica,Tumis buncis wortel bintik,Tumis bandeng,Pisang panggang saus kurma,Cenil,618.5,2
Tumis pare,Sayur bunga pepaya,Tumis bandeng,Jus wortel tomat,Tahu sumedang,744.0,2
Ayam suwir,Ayam saus mentega,Pepes teri,Jus pepaya kayu manis,Sosis solo,775.3,2
Perkedel kentang,Tumis oncom,Tumis kapri manis,Getuk kacang hijau,Wajik ,626.5,2
Nasi goreng tuna,Ikan patin bakar,Kari daging domba,Melon,Onde-onde,719.7,2
Pecel sayur,Ikan belanak goreng,Sayur nangka,Kue bugis,Kue cucur,746.0,2
Bubur ayam,Sup nasi ayam,Pepes teri,Jus apel,Markisa,681.0,2
Telur rebus,Tumis pepaya muda,Sayur nangka,Apel,Sup kacang,632.0,2
Nasi ciprat,Beef teriyaki,Tahu bumbu merah,Salad buah,Cireng isi ayam,659.5,2
Tumis kacang panjang tempe,Dendeng sapi,Kangkung bumbu kare,Kue tapioka,Jus alpukat ,789.9,2
Ayam rica-rica,Iga bakar,Sambal udang,Jus wortel tomat,Bubur sumsum,657.0,2
Tumis daun pepaya,Tuna bumbu kari,Urab,Durian,Sari apel,630.0,2
Pepes tongkol,Ikan lele panggang,Brengkes patin,Putu mayang,Kue kacang,738.0,2
Bubur ayam,Ayam betutu,Sambal udang,Buah naga,serabi,667.0,2
Teri basah goreng renyah,Cumi hitam,Sayur bobor,Cilok,Mangga kweni,794.0,2
Urap megono,Ikan patin bakar,Tahu bumbu kukus,Es teler,Risol bihun ,777.9,2
Sayur pakis,Cumi hitam,Makaroni bumbu merah,Mangga,Kue nagasari,622.0,2
Nasi goreng ,Ikan patin goreng,Kangkung bumbu kare,Pisang bakar saus manis,Puding vanila,651.8,2
Telur orak-arik,Ikan tuna sambal goreng,Oseng tahu tomat,Jus mangga,Pie susu,748.9,2
Pepes tahu,Ikan belanak goreng,Gulai ikan ,Es kuwut,Jus jeruk,733.0,2
Soto bandung,Spageti,Ikan panggang,Jus mentimun jambu,Pempek ,779.5,2
Nasi ciprat,Kepiting panggang,Gulai kambing,Nanas,Cenil,743.2,2
Paha ayam panggang,Bakso ikan,Tempe kukus cabe hijau,Nanas,Kue nastar,791.5,2
Bubur kacang hijau,Beef burger,Sambal udang,Buah naga,Kue pancong,745.0,2
Teri basah goreng renyah,Karedok,Opor ayam,Batagor,Es doger,662.0,2
Tumis pakcoy,Bakso ayam,Sayur rica rodoh,Kue bugis,Susu kedelai,780.8,2
Tumis sawi putih,Bakso ikan,Orak arik bening soun,Talam ubi,Tahu gejrot,731.8,2
Ikan mas goreng,Bubur sapi,Kari daging domba,Kelengkeng,Kue pukis,715.0,2
Nasi pecel,Ikan salmon panggang,Rendang,Jus pepaya belimbing,Mangga kweni,668.1,2
Tumis kol,Bakso ikan,Ikan gabus asap,Mentimun serut,Kue beras,704.1,2
Semur jengkol,Sate usus,Tahu bumbu merah,Pisang ,Susu kedelai,626.3,2
Soto bandung,Bakso sapi,Ikan mujair pepes,Asinan bengkuang nanas,Kue nastar,607.6,2
Nasi liwet,Pepes bandeng presto,Opor ayam,Kue bugis,Pie susu,698.4,2
Telur dadar,Bubur sapi,Ayam panggang bumbu bacem,Jambu biji ,Pempek kapal selam,667.7,2
Usus ayam goreng,Tahu bacem,Pepes tongkol sambal dabu-dabu,Melon,Es doger,646.8,2
Kwetiau udang sambal rujak,Sate usus,Pepes teri,Jus mangga,Kue bawang,732.3,2
Sayur umbut kelapa,Asem-asem kangkung,Gulai kambing,Jus nanas,Martabak manis,764.0,2
Nasi kebuli,Sup ayam,Pepes tongkol sambal dabu-dabu,Getuk kacang hijau,Cenil,700.8,2
Sayur asem,Garang asem ayam,Tempe pesmol,Buah naga,serabi,623.5,2
Pepes ikan mas,Tumis bayam,Tumis kapri manis,Jus nanas,Martabak telur,737.5,2
Ikan tongkol goreng,Sate padang,Tempe kukus cabe hijau,Anggur ,Semangka,601.5,2
Ikan bawal goreng,Bening bayam tauge,Lobstre panggang,Sari seledri timun,Es buah,772.3,2
