Id_kombinasi,Makan_pagi,Makan_siang,Makan_malam,Snack_1,Snack_2,Total_natrium
289,Pepes ikan mas,Sate padang,Mie hokian,Pisang panggang saus kurma,Pempek kapal selam,847.3
290,Nasi ciprat,Sup telur,Ampela goreng ,Sup buah tropika,Pastel ,817.1
291,Laksa palembang,Terong bakar,Urab,Lemang manis isi pisang,serabi,354.6
292,Dendeng sapi,Tuna bumbu kari,Sate bandeng,Rujak buah,Markisa,1483.0
293,Ketoprak ,Kari daging sapi,Pecel ,Salad buah,Apel fuji,971.0
294,Lontong sayur,Udang goreng ,Ikan gabus asap,Anggur ,Kue cucur,1208.0
295,Paha ayam panggang,Ayam woku,Bihun goreng,Putu mayang,Buah delima ,743.5
296,Telur rebus,Abon ayam,Ikan belida bakar,Jus melon,Cempedak,864.0
297,Ikan bawal goreng,Garang asem ayam,Pepes tongkol sambal dabu-dabu,Puding coklat,Mangga kweni,455.8
298,Bubur nasi,Karedok,Tahu bumbu kukus,Jus stroberi,Sup kacang,636.9
299,Pepes tongkol,Kari ayam ,Tahu telur,Jus nanas,Nangka,1475.0
300,Rawon,Ikan tuna panggang,Pepes teri,Sari seledri campur,Nangka,626.0
301,Kering tempe,Abon ayam,Kalio ayam,Kue tapioka,Kue nagasari,1299.6
302,Perkedel kentang,Kerang panggang,Oseng tahu tomat,Cimol,Tahu walik,1074.9
303,Chicken nugget,Garang asem ayam,Opor ayam,Cimol,Sawo,1208.0
304,Chicken karage,Tumis buncis wortel bintik,Gulai kambing,Apel,Bakwan,1254.0
305,Tumis kangkung,Tumis buncis wortel bintik,Pepes teri,Kue apem,Bakwan,741.0
306,Paha ayam panggang,Sup ayam,Tahu bumbu merah,Melon,Sari apel,889.3
307,Tumis pare,Sate usus,Bubur manado,Kue bolu,Kue beras,1109.0
308,Tumis kacang panjang tempe,Sambal goreng kentang,Gulai kambing,Kue bugis,Pempek kapal selam,854.0
309,Ayam suwir kemangi,Cumi hitam,Sayur rica rodoh,Jeruk,Duku,750.8
310,Telur ceplok,Mie ayam,Salmon asap,Rujak pepaya alpukat,Tahu gejrot,1337.8
311,Bubur ayam,Sup telur,Lumpia basah,Pisang ,Apel fuji,641.1
312,Ikan tongkol goreng,Ayam goreng ,Tahu telur,Buah naga,Puding vanila,1465.0
313,Pepes ikan mas,Pempek adaan,Perkedel tahu,Getuk kacang hijau,Bakpia,1204.0
314,Tumis sawi putih,Cumi goreng,Ampela goreng ,Jus mangga,Sari apel,806.0
315,Telur balado,Bebek bakar,Kangkung bumbu kare,Jus nanas,Es krim,600.3
316,Nasi kuning,Ceker mercon,Sop buntut,Jus mentimun jambu,Cenil,1681.5
317,Sayur asem,Nasi rames,Tahu telur,Durian,Mangga kweni,1311.0
318,Pecel sayur,Ayam woku,Telur asin,Rujak buah,Tahu walik,1229.0
319,Tahu balado,Ayam penyet,Pecel ,Es kelapa muda,Sosis solo,666.0
320,Bubur kacang hijau,Bakso aci,Mie hokian,Sari buah tropika,serabi,440.8
321,Tumis kangkung,Sate kambing,Semur daging,Salak,Sale pisang,1176.0
322,Semur tahu,Terong bakar,Gulai ayam,Sari seledri timun,Seblak,1068.0
323,Gulai pakis,Bihun goreng,Ayam panggang bumbu bacem,Putu mayang,Lemper,944.7
324,Kering tempe,Nasi rames,Oseng buncis tempe,Es kuwut,Lemper,1517.0
325,Bubur ketan hitam,Abon sapi,Daging sapi panggang,Pisang bakar saus manis,Mangga kweni,1117.5
326,Gado-gado,Ikan mujair goreng,Sup kentang,Nanas,Pempek kapal selam,960.0
327,Ikan bawal goreng,Mie ayam,Mie hokian,Manggis,Yogurt,468.8
328,Urap,Tuna bumbu pepes,Sambal udang,Melon,Sari apel,623.0
329,Ayam suwir,Udang goreng ,Pepes teri,Mentimun serut,Jus semangka,843.1
330,Bubur nasi,Nasi rames,Kangkung bumbu kare,Cilok,Pie susu,811.3
331,Tumis kacang panjang tempe,Ayam panggang,Tempe goreng tepung,Kue bugis isi kacang hijau,Kue pukis,881.0
332,Tempe goreng,Udang goreng ,Ayam panggang bumbu bacem,Jus wortel tomat,Es krim,1049.7
333,Tumis kacang panjang tempe,Ikan panggang siram acar,Bubur manado,Mentimun serut,Cempedak,577.8000000000001
334,Nasi kebuli,Ayam panggang,Oseng tahu tomat,Batagor,Martabak telur,863.9
335,Udang panggang,Abon ayam,Tuna sambal woku,Sup buah tropika,Pempek kapal selam,1569.9
336,Tumis kangkung,Telur puyuh bumbu kuning,Gulai ikan ,Klepon,Sale pisang,766.1
337,Soto betawi ,Babat sapi,Opor ayam,Jus mentimun jambu,Jus wortel ,512.5
338,Kering tempe,Tuna bumbu kari,Nasi goreng kunyit,Salad buah,Kacang mete sangrai asin,969.0
339,Udang panggang,Sayur bunga pepaya,Sup kentang,Jus belimbing berembun,Seblak,1290.6
340,Soto bandung,Cumi goreng,Tempe pesmol,Es teler,Tahu gejrot,792.5
341,Rawon,Nasi hijau harum,Kalio ayam,Cimol,Cenil,1003.0
342,Ikan bawal goreng,Abon ayam,Sayur rica rodoh,Mangga,Pempek ,556.8
343,Bubur ketan hitam,Ayam masak merah,Salmon asap,Apel,Kue beras,1153.0
344,Urap megono,Ayam bakar,Ikan baung bakar,Batagor,Cempedak,763.0
345,Bubur ayam,Tuna bumbu pepes,Mie rebus tauge,Jus mentimun jambu,Es krim,581.8
346,Tempe masak wijen,Ayam saus mentega,Brengkes patin,Jus mangga,Lemper,794.2
347,Coto makasar,Bakso ikan,Sayur siram bumbu tumis,Jus pepaya kayu manis,Kue beras,554.4
348,Kacang panjang bumbu kuning,Ayam cincang buncis,Sayur rica rodoh,Sari seledri campur,Bluberi,273.3
349,Tumis pare,Ayam woku,Sop kambing,Jus belimbing berembun,Kue kacang,834.6
350,Tumis buncis,Tuna bumbu kari,Tumis bandeng,Rujak buah,Pempek ,1103.0
351,Nasi goreng spesial,Bebek bakar,Sayur rica rodoh,Getuk kacang hijau,Jus jeruk,918.8
352,Pepes tongkol,Bakso ayam,Salmon asap,Sup buah tropika,Ronde,1380.9
353,Soto kudus,Rendang,Kangkung bumbu kare,Cilok,Kue cucur,720.3
354,Gulai pakis,Sate padang,Ikan gurame asam manis,Buah naga,Tahu isi,1480.0
355,Soto kudus,Mie bakso,Kari daging domba,Jambu biji ,Sale pisang,637.0
356,Ayam suwir,Tumis buncis wortel bintik,Tahu bumbu merah,Pir,Markisa,122.3
357,Telur balado,Tumis buncis wortel bintik,Ikan belida bakar,Kurma,Onde-onde,757.0
358,Tempe goreng,Ayam goreng ,Hati ayam goreng,Sari seledri campur,Martabak telur,873.0
359,Soto kudus,Tekwan,Kalio ayam,Jus stroberi,Dimsum,1327.0
360,Sayur bening bayam,Ayam masak merah,Sayur bobor,Jus pepaya belimbing,Bakpia,629.1
361,Nasi goreng spesial,Ayam betutu,Sandwich ikan tuna panggang,Jus nanas,Martabak manis,1359.2
362,Kering tempe,Iga bakar,Kerang asap,Kue apem,Tahu isi,1023.0
363,Nasi ciprat,Nasi hijau harum,Ikan panggang,Dadar gulung,Sari apel,514.2
364,Ikan kembung balado,Tuna bumbu kari,Sop kambing,Sup buah tropika,Lemper,1282.9
365,Kering tempe,Dendeng sapi,Tumis bandeng,Pisang bakar saus manis,Lemper,1174.5
366,Tumis daun pepaya,Tempe orek,Ayam panggang bumbu bacem,Asinan bengkuang nanas,Tahu sumedang,650.3
367,Ayam goreng,Nasi rames,Orak arik bening soun,Jus apel,Takoyaki,974.5
368,Tumis labu siam,Sate ayam,Sayur bobor,Susu,Pastel ,761.0
369,Sayur bening bayam,Abon sapi,Pecel ,Jus belimbing berembun,Cenil,1028.6
370,Ketoprak ,Ikan tuna sambal goreng,Tempe goreng tepung,Jeruk,Tahu isi,1099.0
371,Nasi goreng spesial,Garang asem ayam,Daging sapi panggang,Talam nangka,Sukun goreng,1139.3
372,Bubur nasi,Sup nasi ayam,Pempek kulit,Cimol,Susu kedelai,1267.0
373,Tumis kol,Udang goreng ,Ikan mujair pepes,Sup buah serut,Mangga kweni,914.3
374,Semur ayam,Terong bakar,Kangkung bumbu kare,Kue tapioka,Kacang mete sangrai asin,879.9
375,Tumis pakcoy,Pempek adaan,Tumis kapri manis,Kue bolu,Apel fuji,937.5
376,Pepes ayam,Telur puyuh bumbu kuning,Ayam taliwang,Pisang ,Tahu gejrot,822.1
377,Telur rebus,Pempek adaan,Sate bandeng,Rujak pepaya alpukat,Kue nastar,1304.8
378,Bubur ketan hitam,Ayam panggang,Ikan bakar bumbu kecap,Salak,Sawo,595.5
379,Pepes tongkol,Bubur sapi,Tempe goreng tepung,Kelengkeng,Kue pukis,605.0
380,Pepes tongkol,Ikan tuna panggang,Nasi goreng kunyit,Es kuwut,Mangga kweni,589.0
381,Tumis genjer,Tempe orek,Lodeh terong,Jus jambu,Cireng isi ayam,888.0
382,Rawon,Kari ayam ,Daging sapi panggang,Kue bugis isi kacang hijau,Bakwan,1184.0
383,Nasi goreng udang,Nasi rames,Telur asin,Sari buah tropika,Tahu gejrot,1388.0
384,Tempe goreng,Ayam masak merah,Daging sapi panggang,Apel,Yogurt,797.0
385,Ayam rica-rica,Ayam cincang buncis,Kalio telur,Manggis,Kue cucur,1141.0
386,Tumis kacang panjang tempe,Bening bayam tauge,Pempek kulit,Kue tapioka,Martabak telur,1003.9
387,Tumis pakcoy,Ayam penyet,Jengkol balado,Pisang panggang saus kurma,Nangka,746.5
388,Chicken karage,Sup nasi ayam,Oseng tahu tomat,Jus mentimun jambu,Sale pisang,1308.4
389,Pecel sayur,Spageti,Ayam taliwang,Mangga,Kue pukis,1109.0
390,Nasi kebuli,Oseng tahu,Sop kambing,Sup buah serut,Mangga kweni,990.3
391,Semur ayam,Mie bakso,Makaroni bumbu merah,Kelengkeng,Semangka,748.0
392,Urap megono,Tumis bayam,Teri kacang balado,Batagor,Cempedak,1000.0
393,Soto banjar,Tuna bumbu pepes,Ikan cakalang asap,Talam nangka,Pisang,543.3
394,Bubur kacang hijau,Tumis buncis wortel bintik,Ikan panggang,Sup buah serut,Tahu isi,731.3
395,Ikan mas goreng,Cap cay sayur,Pepes teri,Manggis,Markisa,595.0
396,Tempe masak wijen,Ikan kuah kuning,Tahu siksa,Susu murni,Susu kedelai,272.0
397,Ikan mas goreng,Ayam woku,Ayam taliwang,Jus mangga,Markisa,733.0
398,Urap,Telur puyuh bumbu kuning,Sambal udang,Jus apel,Cenil,430.1
399,Pecel sayur,Steak daging sapi,Ayam geprek,Pir,Jus wortel ,1209.0
400,Nasi uduk,Garang asem ayam,Tumis bandeng,Jus melon,Susu kedelai,796.0
401,Semur tahu,Ikan tuna panggang,Gulai kambing,Klepon,Jus alpukat ,1195.0
402,Tempe masak wijen,Kari ayam ,Mie hokian,Nanas,Tahu walik,855.0
403,Laksa palembang,Cumi hitam,Bihun goreng,Mangga,Sup kacang,1168.5
404,Laksa palembang,Sate ayam,Ikan mujair pepes,Buah naga,Cempedak,661.0
405,Semur tahu,Mie bakso,Ikan mujair pepes,Jeruk,Martabak manis,1072.0
406,Nasi liwet,Bakso ayam,Kalio telur,Talam nangka,Lemper,1399.3
407,Ikan mas goreng,Asem-asem kangkung,Sup bola ayam,Melon,Bubur sumsum,729.0
408,Kering tempe,Gudeg,Lobstre panggang,Asinan bengkuang nanas,Wajik ,1143.6
409,Nasi pecel,Karedok,Kerang asap,Melon,Es buah,333.0
410,Ikan kembung balado,Bihun goreng,Teri balado,Pepaya,Tahu walik,1172.0
411,Pindang patin,Ikan mujair goreng,Sop kambing,Jus Buah naga,Kue kacang,814.0
412,Perkedel kentang,Abon ayam,Makaroni bumbu merah,Durian,Martabak manis,884.0
413,Chicken karage,Ayam saus mentega,Ikan gurame asam manis,Talam ubi,Seblak,2245.3
414,Soto banjar,Bebek bakar,Pecel ,Rujak buah,Dimsum,802.0
415,Tumis labu siam,Ayam rendang,Sop kaki sapi,Getuk kacang hijau,Cempedak,879.0
416,Sayur umbut kelapa,Chicken katsu,Oseng tahu tomat,Kue bolu,Tape singkong,1237.9
417,Semur ayam,Tuna bumbu pepes,Ayam panggang bumbu bacem,Jus belimbing berembun,Puding vanila,981.3000000000001
418,Tumis pakcoy,Ayam woku,Lumpia basah,Pir,Apel fuji,445.1
419,Tempe panggang,Ikan kuah kuning,Ayam geprek,Getuk kacang hijau,Nangka,675.0
420,Teri basah goreng renyah,Tumis bayam,Opor ayam,Kue apem,Dimsum,1202.0
421,Nasi liwet,Ayam goreng ,Kalio ayam,Melon,Jus semangka,1129.0
422,Dendeng sapi,Tempe orek,Teri balado,Es kelapa muda,Tape singkong,1089.0
423,Udang panggang,Bakmi,Saboko gurita,Pir,Sawo,1054.0
424,Ayam rica-rica,Mie ayam,Oseng buncis tempe,Sup buah tropika,Kue bawang,1392.9
425,Telur orak-arik,Kerang panggang,Gadon tahu jamur,Melon,Sawo,784.9
426,Telur ceplok,Bakso ayam,Kalio kikil,Nanas,Roti isi coklat,1181.0
427,Nasi pecel,Ikan lele panggang,Tumis ikan tongkol,Es kuwut,Pempek kapal selam,707.0
428,Ayam goreng,Udang asam manis,Lobstre panggang,Es teler,Seblak,2677.0
429,Teri basah goreng renyah,Kepiting panggang,Terong goreng,Talam nangka,Bubur sumsum,700.3
430,Nasi kuning,Ikan panggang siram acar,Saboko gurita,Susu,Risol bihun ,1341.7
431,Tempe masak wijen,Bening bayam tauge,Sayur bobor,Sari seledri campur,Jus jeruk,96.5
432,Urap,Sambal teri,Nasi goreng kunyit,Buah naga,Es krim,458.0
433,Soto daging ,Sup ayam,Spageti udang,Susu murni,Onde-onde,821.5
434,Kering tempe,Sate kambing,Semur daging,Rujak jeruk bali,Jus semangka,959.7
435,Laksa palembang,Bakso ikan,Nasi goreng sayur,Kue bugis,Kue kacang,747.2
436,Tumis kacang panjang tempe,Sate usus,Udang goreng tepung,Puding coklat,Bubur sumsum,1471.0
437,Kwetiau udang sambal rujak,Kari daging sapi,Lodeh terong,Mangga,Bakpia,959.3
438,Soto ayam,Telur puyuh bumbu kuning,Tumis ikan tongkol,Jus nanas,Martabak manis,431.1
439,Ikan kembung balado,Bakso sapi,Oseng tahu tomat,Rujak jeruk bali,Duku,582.6
440,Pepes tongkol,Pepes bandeng presto,Semur daging,Kelengkeng,Tahu walik,650.4
441,Kacang panjang bumbu kuning,Mie ayam,Ikan belida bakar,Jambu biji ,Sosis solo,664.5
442,Semur jengkol,Cap cay sayur,Opor ayam,Putu mayang,Tahu isi,1013.0
443,Perkedel kentang,Ceker mercon,Sop kaki sapi,Jus wortel tomat,Kue pancong,1012.0
444,Laksa palembang,Sate padang,Gulai kambing,Kurma,Jus jeruk,753.0
445,Chicken karage,Tahu bacem,Salmon asap,Sup buah tropika,Seblak,2056.9
446,Nasi goreng ayam,Ikan tuna panggang,Perkedel tahu,Kelengkeng,Kue nastar,1179.0
447,Tuna bakar bumbu bali,Kari daging sapi,Tahu siksa,Rujak buah,Kue nastar,772.0
448,Soto ayam,Oseng tahu,Kalio ayam,Mangga,Kue nastar,1150.0
449,Nasi ciprat,Sambal goreng kentang,Pempek kulit,Melon,Bakwan,861.2
450,Sayur asem,Karedok,Ayam geprek,Pisang panggang saus kurma,Markisa,933.5
451,Tumis buncis,Ikan panggang siram acar,Spageti udang,Mentimun serut,Jus jeruk,389.3
452,Nasi pecel,Sate ayam,Oseng buncis tempe,Puding coklat,Martabak telur,1399.0
453,Sayur pakis,Ikan kuah kuning,Ikan gurame asam manis,Pir,Duku,674.0
454,Tempe goreng,Ayam goreng ,Sate bandeng,Pisang bakar saus manis,Tahu gejrot,1348.5
455,Tumis genjer,Ikan lele panggang,Sate bandeng,Jambu biji ,Nangka,1151.0
456,Tumis pare,Kari ayam ,Lobstre panggang,Kue bugis,Kue sus,1779.0
457,Telur dadar,Sambal goreng kentang,Urab,Sari seledri timun,Onde-onde,327.0
458,Soto banjar,Tempe penyet,Telur asin,Cimol,Tape singkong,1003.0
459,Chicken karage,Mie ayam,Gadon tahu jamur,Pepaya,Ronde,1206.9
460,Tempe masak wijen,Ayam lada hitam,Teri balado,Asinan bengkuang nanas,Jus jeruk,652.8000000000001
461,Kwetiau goreng,Ayam masak merah,Ikan gabus asap,Kue tapioka,Jus wortel ,1135.6
462,Gulai pakis,Kari ayam ,Tempe kukus cabe hijau,Pisang panggang saus kurma,Bubur sumsum,1049.0
463,Udang panggang,Ayam woku,Makaroni bumbu merah,Susu murni,Ronde,759.0
464,Pecel sayur,Kepiting panggang,Sayur rica rodoh,Jus apel,Bubur sumsum,945.8
465,Soto daging ,Ikan lele panggang,Nasi goreng kunyit,Stroberi,Sukun goreng,575.0
466,Ayam suwir,Oseng tahu,Ayam kalasan,Rujak jeruk bali,Pempek ,561.0999999999999
467,Pindang patin,Ikan tongkol balado,Sandwich ikan tuna panggang,Jus Buah naga,Lemper,787.2
468,Telur dadar,Ayam penyet,Sop kaki sapi,Putu mayang,Onde-onde,960.0
469,Ketoprak ,Garang asem ayam,Lumpia basah,Sari seledri timun,Es doger,791.1
470,Coto makasar,Ayam lada hitam,Kerang asap,Mangga,Yogurt,673.0
471,Soto banjar,Sup telur,Bubur manado,Batagor,Sosis solo,912.0
472,Nasi pecel,Bakmi,Lodeh terong,Asinan bengkuang nanas,Pempek kapal selam,760.6
473,Usus ayam goreng,Sup nasi ayam,Bandeng presto,Buah naga,Sari apel,1025.0
474,Nasi kebuli,Kepiting panggang,Nasi goreng sayur,Kue bugis isi kacang hijau,Tahu sumedang,961.2
475,Laksa palembang,Ikan patin bakar,Ikan bakar bumbu kecap,Rujak buah,Mangga kweni,782.5
476,Nasi kebuli,Ayam rendang,Tempe kukus cabe hijau,Anggur ,Tahu sumedang,645.5
477,Soto banjar,Pecel lele,Spageti udang,Es teler,Jus jeruk,376.5
478,Soto kudus,Tuna bumbu kari,Ikan bakar bumbu kecap,Lemang manis isi pisang,Kue bawang,741.1
479,Pecel sayur,Mie bakso,Semur telur,Asinan bengkuang nanas,Semangka,962.6
480,Bubur ketan hitam,Ayam teriyaki,Pepes tongkol sambal dabu-dabu,Talam nangka,Sukun goreng,1163.1
481,Sayur umbut kelapa,Kari daging sapi,Ikan gurame asam manis,Apel,Sup kacang,1741.0
482,Tahu balado,Tuna bumbu kari,Lobstre panggang,Es kuwut,Tape singkong,1377.0
483,Semur jengkol,Sate padang,Tuna sambal woku,Es teler,Cenil,982.0
484,Sayur bening bayam,Nasi hijau harum,Kalio kikil,Buah naga,Susu kedelai,816.0
485,Bubur kacang hijau,Tekwan,Tahu bumbu kukus,Mangga,Onde-onde,333.9
486,Chicken nugget,Pepes bandeng presto,Semur telur,Rujak buah,Bakwan,1244.4
487,Ikan tongkol goreng,Sambal teri,Sayur bobor,Jus wortel tomat,Kue pukis,570.0
488,Tumis daun pepaya,Ikan tuna sambal goreng,Daging sapi panggang,Puding coklat,serabi,1016.0
489,Tumis labu siam,Oseng tahu,Tumis kapri manis,Jus nanas,Tahu isi,823.5
490,Telur rebus,Ayam saus mentega,Rendang,Salad buah,Tahu isi,1158.0
491,Tumis kacang panjang tempe,Ikan tuna sambal goreng,Tumis kapri manis,Kue bugis isi kacang hijau,Apel fuji,665.5
492,Pepes tahu,Steak daging sapi,Kalio telur,Batagor,Jus wortel ,1363.0
493,Chicken karage,Sambal teri,Ikan bakar bumbu kecap,Susu murni,Lemper,1374.5
494,Coto makasar,Sate usus,Tahu bumbu merah,Kue apem,Sosis solo,962.3
495,Nasi bakar,Kari daging sapi,Paru sapi goreng,Melon,Bakpia,1210.0
496,Tempe goreng,Bakso sapi,Ampela goreng ,Kue bugis,Bubur sumsum,938.0
497,Tuna bakar bumbu bali,Ayam betutu,Sup kentang,Pisang ,Apel fuji,690.2
498,Perkedel kentang,Sup nasi ayam,Tempe kukus cabe hijau,Jus mangga,Kue nagasari,682.5
499,Nasi bakar,Tumis buncis wortel bintik,Lobstre panggang,Klepon,Sawo,916.0
500,Tempe bacem,Cumi goreng,Ikan mujair pepes,Kue bugis isi kacang hijau,Cempedak,475.0
501,Tempe goreng,Sup ayam,Bihun goreng,Pir,Kue sus,1168.5
502,Pepes ayam,Tuna bumbu pepes,Tempe mendoan,Klepon,Yogurt,761.0
503,Nasi kebuli,Tahu cabe garam,Sayur rica rodoh,Asinan bengkuang nanas,Kue sus,553.4
504,Ketoprak ,Bakso aci,Spageti udang,Lemang manis isi pisang,Martabak manis,949.1
505,Telur rebus,Asem-asem kangkung,Terong balado,Melon,Pastel ,609.0
506,Tumis daun pepaya,Kari ayam ,Tumis ikan tongkol,Cimol,Seblak,1313.0
507,Telur dadar,Sate ayam,Kerang asap,Sari seledri timun,Sup kacang,999.0
508,Semur tahu,Garang asem ayam,Ayam taliwang,Dadar gulung,Sale pisang,1342.0
509,Tuna bakar bumbu bali,Ikan tuna panggang,Sayur siram bumbu tumis,Susu murni,Sale pisang,500.3
510,Pecel sayur,Ayam goreng ,Sup kentang,Sari buah tropika,Cempedak,1126.0
511,Tumis pakcoy,Telur puyuh bumbu kuning,Oseng buncis tempe,Sari buah tropika,Bolu kukus,1294.1
512,Sayur pakis,Beef teriyaki,Daging sapi panggang,Es teler,Buah delima ,753.0
513,Bubur ayam,Sup telur,Urab,Jus Buah naga,Pisang,619.0
514,Lontong sayur,Pepes bandeng presto,Hati ayam goreng,Talam nangka,Apel fuji,181.70000000000002
515,Usus ayam goreng,Bebek bakar,Pepes tongkol sambal dabu-dabu,Jus jambu,Nangka,635.8
516,Nasi kebuli,Beef burger,Terong goreng,Jus melon,Bolu kukus,1039.0
517,Paha ayam panggang,Sambal goreng kentang,Sup kentang,Jus mangga,Kue nastar,1062.0
518,Ikan kembung balado,Sayur bunga pepaya,Spageti udang,Sari seledri campur,Ronde,482.5
519,Nasi goreng ayam,Sate padang,Sop buntut,Cilok,Nangka,1351.0
520,Telur ceplok air acar kuning,Ikan tongkol balado,Ikan belida bakar,Rujak buah,Es krim,814.5
521,Ayam rica-rica,Bubur sapi,Sop buntut,Kelengkeng,Sawo,1048.0
522,Ikan kembung balado,Dendeng sapi,Oseng tahu tomat,Pisang ,Markisa,754.9
523,Semur ayam,Mie bakso,Ayam panggang bumbu bacem,Kurma,Jus alpukat ,775.7
524,Nasi goreng ,Ikan tuna panggang,Sop kambing,Jeruk,Tape singkong,1174.0
525,Nasi bakar,Chicken katsu,Tumis ikan tongkol,Jambu biji ,serabi,967.0
526,Sayur umbut kelapa,Pempek adaan,Bandeng presto,Klepon,Kue sus,1492.0
527,Perkedel kentang,Ayam betutu,Tempe pesmol,Sup buah tropika,Jus wortel ,524.4
528,Pindang patin,Sambal teri,Tuna sambal woku,Putu mayang,Kue bawang,756.0
529,Tumis labu siam,Sup telur,Sayur rica rodoh,Pisang panggang saus kurma,Es buah,535.3
530,Sayur umbut kelapa,Ayam goreng ,Oseng buncis tempe,Kue apem,Es buah,1561.0
531,Ayam suwir kemangi,Bakso ikan,Opor ayam,Lemang manis isi pisang,Onde-onde,831.6
532,Telur rebus,Kerang panggang,Ampela goreng ,Durian,Jus wortel ,952.0
533,Tuna bakar bumbu bali,Garang asem ayam,Semur telur,Talam nangka,Kacang mete sangrai asin,961.5
534,Ketoprak ,Udang goreng ,Tumis kapri manis,Buah naga,Wajik ,1241.5
535,Belut goreng,Tumis buncis wortel bintik,Rendang,Kue bugis,Jus jeruk,555.0
536,Tumis kol,Dendeng sapi,Sambal udang,Cilok,Tahu walik,999.0
537,Bubur nasi,Cumi goreng,Tuna sambal woku,Klepon,Bolu pisang,1194.0
538,Tumis pakcoy,Kerang panggang,Terong balado,Kue tapioka,Semangka,1014.6
539,Ikan tongkol goreng,Bakso aci,Teri kacang balado,Mangga,Pisang,867.0
540,Telur dadar,Tumis oncom,Tempe pesmol,Kurma,Kue cucur,480.5
541,Dendeng sapi,Gudeg,Makaroni bumbu merah,Jus mentimun jambu,Kue cucur,725.5
542,Telur dadar,Abon ayam,Teri balado,Pisang panggang saus kurma,Bolu kukus,1163.5
543,Nasi bakar,Oseng tahu,Kalio ayam,Kue tapioka,Sukun goreng,1114.6
544,Telur rebus,Sambal goreng kentang,Sayur nangka,Rujak pepaya alpukat,Sawo,282.8
545,Tempe bacem,Babat sapi,Saboko gurita,Getuk kacang hijau,Semangka,356.0
546,Belut goreng,Ikan tuna sambal goreng,Lodeh terong,Salad buah,Es buah,867.0
547,Nasi goreng spesial,Pecel lele,Brengkes patin,Jus mangga,Duku,797.0
548,Dendeng sapi,Pepes bandeng presto,Tempe mendoan,Susu murni,Jus wortel ,765.4
549,Nasi liwet,Telur puyuh bumbu kuning,Semur daging,Jambu biji ,Kue nastar,795.1
550,Soto banjar,Mie ayam,Pepes tongkol sambal dabu-dabu,Jus melon,Kue nagasari,533.8
551,Pepes tongkol,Ayam rendang,Terong goreng,Jus pepaya kayu manis,Sup kacang,816.3
552,Soto daging ,Ikan patin goreng,Pepes tongkol sambal dabu-dabu,Batagor,Bakpia,509.8
553,Telur balado,Tekwan,Ikan bakar bumbu kecap,Rujak jeruk bali,Apel fuji,651.2
554,Nasi goreng udang,Telur puyuh bumbu kuning,Daging sapi panggang,Jeruk,Kue bawang,826.1
555,Teri basah goreng renyah,Tempe penyet,Paru sapi goreng,Mangga,Semangka,640.0
556,Pepes ikan mas,Gudeg,Lobstre panggang,Rujak pepaya alpukat,Duku,982.8
557,Urap megono,Ayam cincang buncis,Ayam geprek,Sari seledri timun,Cempedak,758.0
558,Tumis buncis,Dendeng sapi,Nasi goreng sayur,Mangga,Pie susu,930.2
559,Bubur kacang hijau,Ikan patin goreng,Urab,Talam nangka,Bolu kukus,346.3
560,Kwetiau udang sambal rujak,Tumis bayam,Tumis ikan tongkol,Dadar gulung,Cireng isi ayam,847.3
561,Tempe goreng,Ikan lele panggang,Tahu bumbu merah,Nanas,Yogurt,688.3
562,Tumis kacang panjang tempe,Terong bakar,Paru sapi goreng,Susu,Tape singkong,701.0
563,Nasi kuning,Cumi hitam,Tuna bumbu rica-rica,Lemang manis isi pisang,Sawo,1755.6
564,Telur ceplok,Abon sapi,Sop kambing,Putu mayang,Sosis solo,1428.0
565,Kering tempe,Cap cay sayur,Sop buntut,Jambu biji ,Tape singkong,1113.0
566,Ayam suwir kemangi,Pempek adaan,Tahu bumbu kukus,Pir,Pie susu,951.9
567,Bubur nasi,Tempe orek,Pecel ,Es kelapa muda,Es buah,388.0
568,Tempe panggang,Nasi rames,Bandeng presto,Sup buah tropika,Tahu gejrot,769.9
569,Gulai tunjang,Tuna bumbu pepes,Ikan cakalang asap,Pisang panggang saus kurma,Sawo,693.5
570,Tumis kol,Sate ayam,Tahu bumbu kukus,Sari buah tropika,Onde-onde,574.9
571,Dendeng sapi,Abon sapi,Tempe goreng tepung,Nanas,Martabak manis,1580.0
572,Bubur ayam,Ikan lele panggang,Tahu siksa,Jus mentimun jambu,Semangka,643.3
573,Kacang panjang bumbu kuning,Ayam saus mentega,Tahu telur,Lemang manis isi pisang,Cempedak,1313.1
574,Nasi ciprat,Ayam woku,Oseng buncis tempe,Jus apel,Takoyaki,1235.2
575,Tumis daun pepaya,Ayam woku,Tahu siksa,Jus Buah naga,Kue bawang,480.8
576,Pepes tongkol,Ayam goreng ,Tahu siksa,Putu mayang,Es buah,553.8
577,Soto daging ,Ayam woku,Lobstre panggang,Jus Buah naga,Jus wortel ,1001.0
578,Ketoprak ,Nasi hijau harum,Ikan bakar bumbu kecap,Pepaya,Pisang,572.5
579,Telur rebus,Sate padang,Sayur rica rodoh,Jus belimbing berembun,Roti isi coklat,617.4000000000001
580,Telur dadar,Abon sapi,Kari daging domba,Jus mentimun jambu,Puding vanila,1255.5
581,Sayur asem,Kari ayam ,Tahu siksa,Talam ubi,Kue pancong,1004.0999999999999
