makan_pagi,makan_siang,makan_malam,snack_1,snack_2,total_natrium,derajat,natrium_makan_pagi,natrium_makan_siang,natrium_makan_malam,natrium_snack_1,natrium_snack_2
soto banjar,mie bakso,lobstre panggang,manggis,kue nastar,1034,1,82,193,630,7,122
nasi goreng ayam,dendeng sapi,tempe kukus cabe hijau,pisang bakar saus manis,bolu pisang,1028,1,302,443,7.5,11.5,264
bubur ketan hitam,iga bakar,paru sapi goreng,kue bolu,onde-onde,1013,1,77,272,356,228,80
lontong sayur,ayam woku,tuna bumbu rica-rica,mangga,dimsum,1084,1,64,183,400,2,435
tumis kangkung,gudeg,ayam taliwang,klepon,apel fuji,1043,1,384,147,432,79,1
tumis kol,kari daging sapi,sambal udang,es kuwut,bolu kukus,1035,1,114,551,73,74,223
udang panggang,tumis oncom,semur daging,kelengkeng,apel fuji,1145,1,512,262,370,0,1
ketoprak,babat sapi,semur daging,rujak jeruk bali,martabak manis,1087.7,1,391,68,370,8.7,250
soto ayam,cumi hitam,ikan panggang,jus nanas,wajik,1056,1,87,471,356,2,140
pepes ikan mas,ayam woku,lobstre panggang,kue bugis isi kacang hijau,tape singkong,1019,1,191,183,630,8,7
ketoprak,ikan mujair goreng,ampela goreng,putu mayang,pie susu,1069,1,391,194,255,59,170
paha ayam panggang,cumi hitam,tahu bumbu merah,apel,seblak,1150.3,1,406,471,5.3,1,267
semur tahu,ikan tongkol balado,ikan mujair pepes,kue bugis,sale pisang,1101,1,569,352,58,61,61
sayur asem,ayam bakar,mie hokian,cilok,mangga kweni,1017.8,1,308,409,77.8,221,2
semur jengkol,steak daging sapi,tuna sambal woku,pepaya,takoyaki,1093,1,60,373,390,3,267
nasi goreng udang,onigiri,telur asin,jus apel,bluberi,1094,1,467,140,483,3,1
tumis kangkung,pempek adaan,kerang asap,pisang,bakwan,1196,1,384,487,160,1,164
nasi goreng udang,ayam bakar,gulai ayam,pepaya,jus semangka,1087,1,467,409,207,3,1
pepes tahu,dendeng sapi,semur telur,durian,ronde,1137,1,269,443,417,2,6
ketoprak,ayam betutu,udang goreng tepung,kue tapioka,es buah,1155.6,1,391,251,487,4.6,22
soto betawi,terong bakar,kalio telur,jus mangga,bolu pisang,1002,1,194,2,540,2,264
tumis kacang panjang tempe,ayam betutu,ikan belida bakar,kue tapioka,bolu pisang,1107.6,1,295,251,293,4.6,264
nasi goreng spesial,ayam betutu,gulai daging sapi,talam ubi,pisang,1189.3,1,703,251,225,9.3,1
nasi goreng ayam,ikan tongkol balado,nasi goreng sayur,pepaya,sup kacang,1072.2,1,302,352,52.2,3,363
nasi goreng udang,steak daging sapi,tumis tahu kentang seledri,getuk kacang hijau,bolu pisang,1129,1,467,373,6,19,264
belut goreng,sup telur,teri balado,kue bugis,sukun goreng,1123,1,283,355,422,61,2
tumis sawi putih,mie bakso,sup bola ayam,jus pepaya belimbing,kue nastar,1071.1,1,211,193,538,7.1,122
gulai tunjang,abon ayam,paru sapi goreng,pir,kue kacang,1121,1,215,410,356,1,139
telur ceplok,kerang panggang,sayur siram bumbu tumis,cimol,kacang mete sangrai asin,1133.1,1,94,527,14.1,190,308
tumis daun pepaya,ikan tuna sambal goreng,opor ayam,jus wortel tomat,takoyaki,1078,1,213,360,219,19,267
soto daging,ayam cincang buncis,orak arik bening soun,mangga,martabak manis,734.5,2,152,241,89.5,2,250
nasi liwet,bakso ikan,kari daging domba,pisang panggang saus kurma,apel fuji,704.5,2,228,255,210,10.5,1
soto bandung,tekwan,sayur nangka,cilok,puding vanila,678,2,132,186,4,221,135
sayur umbut kelapa,tempe orek,tempe pesmol,apel,puding vanila,665.5,2,317,209,3.5,1,135
tumis sawi putih,sate ayam,gadon tahu jamur,jus nanas,pempek,643.9,2,211,355,18.9,2,57
tempe goreng,ikan patin goreng,ikan bandeng goreng,es kuwut,es doger,751,2,277,61,215,74,124
kacang panjang bumbu kuning,beef burger,makaroni bumbu merah,es kelapa muda,jus semangka,608.5,2,9.5,572,18,8,1
telur ceplok,iga bakar,ikan cakalang asap,jus jambu,pempek,601,2,94,272,176,2,57
bubur kacang hijau,ayam masak merah,sup kentang,salad buah,mangga kweni,753,2,46,282,418,5,2
ikan bawal goreng,tumis pepaya muda,sop kaki sapi,jus mentimun jambu,cempedak,653.5,2,85,125,435,2.5,6
bubur kacang hijau,ayam saus mentega,ikan bakar bumbu kecap,jus melon,kue bawang,788.5,2,46,560,99.5,16,67
tumis genjer,asem-asem kangkung,terong balado,cimol,sosis solo,783,2,218,32,262,190,81
teri basah goreng renyah,cumi goreng,ikan bakar bumbu kecap,jus stroberi,bolu kukus,698.5,2,40,335,99.5,1,223
lontong sayur,ceker mercon,ikan belida bakar,putu mayang,pempek,775,2,64,302,293,59,57
nasi pecel,ayam penyet,semur daging,salad buah,serabi,768,2,8,288,370,5,97
bubur nasi,telur puyuh bumbu kuning,sup kentang,kurma,es buah,641.1,2,126,73.1,418,2,22
lontong sayur,cap cay sayur,tumis kapri manis,durian,bolu kukus,695.5,2,64,405,1.5,2,223
kacang panjang bumbu kuning,pempek adaan,tahu bumbu kukus,durian,bolu pisang,782.4,2,9.5,487,19.9,2,264
nasi goreng udang,nasi hijau harum,sambal udang,puding coklat,tape singkong,754,2,467,78,73,129,7
sayur pakis,telur puyuh bumbu kuning,sop kambing,talam ubi,tahu sumedang,663.4,2,1,73.1,384,9.3,196
kwetiau goreng,pecel lele,oseng tahu tomat,klepon,cempedak,638.9,2,500,48,5.9,79,6
sayur bening bayam,tuna bumbu kari,pepes tongkol sambal dabu-dabu,jus nanas,martabak telur,725.8,2,162,400,26.8,2,135
kwetiau udang sambal rujak,sayur tahu toge,lodeh terong,rujak jeruk bali,kue pukis,650,2,91.3,256,197,8.7,97
telur orak-arik,nasi rames,sayur nangka,pir,wajik,621,2,211,265,4,1,140
bubur kacang hijau,mie ayam,saboko gurita,jus jambu,bakpia,645,2,46,279,200,2,118
soto banjar,tuna bumbu pepes,ikan bakar bumbu kecap,jus buah naga,pie susu,638.5,2,82,280,99.5,7,170
urap,garang asem ayam,ikan belida bakar,jus apel,sari apel,763,2,251,213,293,3,3
nasi kebuli,bening bayam tauge,sop buntut,jus apel,sukun goreng,661.3,2,166,12.3,478,3,2
pepes tahu,ayam rendang,opor ayam,jus melon,cempedak,784,2,269,274,219,16,6
chicken nugget,gudeg,tumis kapri manis,durian,nangka,727.5,2,574,147,1.5,2,3
perkedel kentang,sayur bunga pepaya,rendang,batagor,jus wortel,659,2,204,90,184,152,29
ikan tongkol goreng,tumis buncis wortel bintik,hati ayam goreng,sari seledri timun,kue sus,724,2,244,26,92,23,339
soto banjar,ikan lele panggang,ikan bakar bumbu kecap,getuk kacang hijau,bakwan,749.5,2,82,385,99.5,19,164
pepes ayam,ayam woku,terong balado,sari buah tropika,bakpia,718,2,149,183,262,6,118
bubur kacang hijau,tuna bumbu kari,tempe goreng tepung,puding coklat,wajik,791,2,46,400,76,129,140
laksa palembang,sambal goreng kentang,daging sapi panggang,salad buah,tahu sumedang,772,2,240,114,217,5,196
tumis sawi putih,gudeg,ikan panggang,pisang panggang saus kurma,yogurt,744.5,2,211,147,356,10.5,20
nasi bakar,pepes bandeng presto,telur asin,kurma,serabi,771.4,2,169,20.4,483,2,97
tumis kol,tuna bumbu pepes,kangkung bumbu kare,klepon,martabak manis,752.3,2,114,280,29.3,79,250
lontong sayur,terong bakar,gulai daging sapi,sari seledri campur,kue sus,649,2,64,2,225,19,339
perkedel kentang,dendeng sapi,kangkung bumbu kare,sari seledri campur,jus jeruk,696.3,2,204,443,29.3,19,1
rawon,ayam woku,daging sapi panggang,jus wortel tomat,kue bawang,657,2,171,183,217,19,67
soto betawi,ikan salmon panggang,makaroni bumbu merah,kue bugis,markisa,768,2,194,467,18,61,28
telur rebus,ikan patin goreng,gulai ikan,es teler,tahu sumedang,720,2,139,61,169,155,196
tumis kacang panjang tempe,ikan kuah kuning,tumis ikan tongkol,jus mangga,tahu gejrot,645,2,295,162,19,2,167
teri basah goreng renyah,ayam goreng,jengkol balado,salad buah,semangka,621,2,40,350,225,5,1
tumis kacang panjang tempe,tumis pepaya muda,ikan panggang,rujak pepaya alpukat,kue beras,798.8,2,295,125,356,13.8,9
ayam rica-rica,terong bakar,semur daging,jus mentimun jambu,pastel,772.5,2,238,2,370,2.5,160
soto betawi,tumis pepaya muda,kari daging domba,durian,pempek kapal selam,752,2,194,125,210,2,221
tumis kangkung,sayur tahu toge,urab,sari buah tropika,cempedak,664,2,384,256,12,6,6
ikan kembung balado,mie ayam,nasi goreng sayur,cimol,semangka,799.2,2,277,279,52.2,190,1
soto daging,ikan tuna sambal goreng,tempe mendoan,pisang panggang saus kurma,cenil,785.5,2,152,360,233,10.5,30
nasi goreng tuna,ayam penyet,gulai ayam,dadar gulung,bakwan,767.7,2,41.7,288,207,67,164
pepes tongkol,beef teriyaki,tempe pesmol,pepaya,pempek kapal selam,716.5,2,112,377,3.5,3,221
soto bandung,tumis bayam,sayur bobor,jus pepaya belimbing,kue nagasari,737.1,2,132,408,60,7.1,130
tumis sawi putih,sambal teri,oseng tahu tomat,jus pepaya kayu manis,martabak manis,622.2,2,211,150,5.9,5.3,250
tumis kangkung,babat sapi,rendang,rujak pepaya alpukat,wajik,789.8,2,384,68,184,13.8,140
kupat tahu,mie bakso,makaroni bumbu merah,durian,lemper,642,2,244,193,18,2,185
kupat tahu,bakso sapi,hati ayam goreng,mentimun serut,es buah,654.1,2,244,290,92,6.1,22
tumis daun pepaya,ikan tuna sambal goreng,tahu siksa,kurma,kue pancong,637.8,2,213,360,10.8,2,52
soto daging,terong bakar,telur asin,pisang bakar saus manis,onde-onde,728.5,2,152,2,483,11.5,80
tempe panggang,ikan salmon panggang,opor ayam,pisang,pisang,719,2,31,467,219,1,1
telur rebus,ikan mujair goreng,saboko gurita,stroberi,kue pukis,631,2,139,194,200,1,97
urap,sayur tahu toge,nasi goreng sayur,susu,jus semangka,601.2,2,251,256,52.2,41,1
telur balado,ayam masak merah,nasi goreng sayur,dadar gulung,jus jeruk,758.2,2,356,282,52.2,67,1
ikan tongkol goreng,bakso ikan,hati ayam goreng,salad buah,es doger,720,2,244,255,92,5,124
tahu balado,ikan kuah kuning,oseng tahu tomat,kue apem,tahu walik,681.9,2,266,162,5.9,100,148
telur balado,garang asem ayam,nasi goreng sayur,kelengkeng,kue bawang,688.2,2,356,213,52.2,0,67
soto bandung,bening bayam tauge,tempe mendoan,asinan bengkuang nanas,martabak manis,632.9,2,132,12.3,233,5.6,250
semur jengkol,gudeg,ikan panggang,jus belimbing berembun,risol bihun,769.6,2,60,147,356,3.6,203
nasi ciprat,tumis bayam,daging sapi panggang,jus pepaya kayu manis,serabi,737.5,2,10.2,408,217,5.3,97
gado-gado,spageti,bihun goreng,puding coklat,kue nagasari,709.5,2,126,232,92.5,129,130
ketoprak,karedok,sayur bobor,sari seledri campur,nangka,600,2,391,127,60,19,3
sayur asem,rendang,pepes teri,dadar gulung,puding vanila,761,2,308,184,67,67,135
ayam rica-rica,ceker mercon,urab,jus nanas,wajik,694,2,238,302,12,2,140
tumis labu siam,beef teriyaki,tumis ikan tongkol,getuk kacang hijau,bakwan,724,2,145,377,19,19,164
pepes ayam,tumis bayam,tahu bumbu kukus,pisang bakar saus manis,markisa,616.4,2,149,408,19.9,11.5,28
soto banjar,ikan tongkol balado,sambal udang,kurma,puding vanila,644,2,82,352,73,2,135
ayam suwir,sate kambing,ayam kalasan,sari seledri campur,takoyaki,735.4,2,62,359,28.4,19,267
kering tempe,nasi rames,tahu siksa,pisang panggang saus kurma,pastel,667.3,2,221,265,10.8,10.5,160
telur dadar,ceker mercon,jengkol balado,rambutan,jus wortel,664,2,98,302,225,10,29
telur ceplok,cumi hitam,bihun goreng,susu,sosis solo,779.5,2,94,471,92.5,41,81
bubur ketan hitam,tumis pepaya muda,teri balado,manggis,nangka,634,2,77,125,422,7,3
ikan bawal goreng,ayam bakar,tempe mendoan,sari seledri timun,sari apel,753,2,85,409,233,23,3
tumis kangkung,bening bayam tauge,kari daging domba,kue bugis isi kacang hijau,kue beras,623.3,2,384,12.3,210,8,9
belut goreng,tuna bumbu kari,brengkes patin,pisang bakar saus manis,jus wortel,766.5,2,283,400,43,11.5,29
soto betawi,tempe orek,urab,mentimun serut,tahu isi,691.1,2,194,209,12,6.1,270
ayam suwir,ayam saus mentega,tumis ikan tongkol,salak,duku,644,2,62,560,19,2,1
urap,ikan panggang siram acar,sup kentang,rambutan,susu kedelai,762.7,2,251,28.7,418,10,55
soto ayam,gudeg,pempek kulit,jus pepaya belimbing,pisang,799.1,2,87,147,557,7.1,1
pepes tongkol,ayam betutu,hati ayam goreng,jus mentimun jambu,pastel,617.5,2,112,251,92,2.5,160
kering tempe,ayam woku,gulai ayam,buah naga,jus wortel,642,2,221,183,207,2,29
ketoprak,ikan panggang siram acar,brengkes patin,pisang panggang saus kurma,kue kacang,612.2,2,391,28.7,43,10.5,139
lontong sayur,sate kambing,ayam kalasan,klepon,sosis solo,611.4,2,64,359,28.4,79,81
kwetiau udang sambal rujak,iga bakar,makaroni bumbu merah,salad buah,seblak,653.3,2,91.3,272,18,5,267
gulai pakis,ikan tongkol balado,pepes tongkol sambal dabu-dabu,jus buah naga,susu kedelai,792.8,2,352,352,26.8,7,55
perkedel kentang,kerang panggang,nasi goreng sayur,kelengkeng,duku,784.2,2,204,527,52.2,0,1
tahu balado,spageti,tempe kukus cabe hijau,getuk kacang hijau,puding vanila,659.5,2,266,232,7.5,19,135
urap,sambal goreng kentang,kerang asap,rujak jeruk bali,serabi,630.7,2,251,114,160,8.7,97
soto bandung,ikan tongkol balado,ikan bakar bumbu kecap,jus melon,ronde,605.5,2,132,352,99.5,16,6
kupat tahu,iga bakar,mie rebus tauge,salak,kue cucur,668.3,2,244,272,35.3,2,115
ikan bawal goreng,dendeng sapi,lumpia basah,susu,bubur sumsum,664.1,2,85,443,40.1,41,55
telur ceplok,kerang panggang,bihun goreng,jus melon,apel fuji,730.5,2,94,527,92.5,16,1
ikan tongkol goreng,ikan tongkol balado,gulai ikan,rujak pepaya alpukat,ronde,784.8,2,244,352,169,13.8,6
telur ceplok,tuna bumbu pepes,sayur bobor,getuk kacang hijau,cireng isi ayam,715,2,94,280,60,19,262
chicken nugget,tahu bacem,lumpia basah,dadar gulung,sari apel,753.1,2,574,69,40.1,67,3
teri basah goreng renyah,cap cay sayur,ikan belida bakar,jus apel,pisang,742,2,40,405,293,3,1
tempe bacem,ikan patin goreng,kari daging domba,jus nanas,takoyaki,608,2,68,61,210,2,267
teri basah goreng renyah,bubur sapi,sop kambing,jambu biji,jus wortel,775,2,40,320,384,2,29
nasi ciprat,tempe penyet,teri kacang balado,pisang panggang saus kurma,sari apel,670.7,2,10.2,241,406,10.5,3
gado-gado,tumis bayam,bubur manado,jus belimbing berembun,jus alpukat,797.6,2,126,408,242,3.6,18
ikan tongkol goreng,bebek bakar,tempe goreng tepung,jeruk,cireng isi ayam,777,2,244,193,76,2,262
kwetiau udang sambal rujak,ayam rendang,sandwich ikan tuna panggang,es kelapa muda,kue pukis,623.5,2,91.3,274,153.2,8,97
bubur kacang hijau,sayur tahu toge,sop kaki sapi,kue bugis isi kacang hijau,markisa,773,2,46,256,435,8,28
sayur bening bayam,ayam cincang buncis,ikan gabus asap,sari buah tropika,mangga kweni,731,2,162,241,320,6,2
ayam suwir,ikan lele panggang,sayur siram bumbu tumis,puding coklat,martabak telur,725.1,2,62,385,14.1,129,135
telur balado,ikan mujair goreng,lumpia basah,jus pepaya belimbing,susu kedelai,652.2,2,356,194,40.1,7.1,55
ikan mas goreng,ayam cincang buncis,sop kaki sapi,stroberi,cenil,795,2,88,241,435,1,30
ayam suwir,ikan lele panggang,gulai ikan,sari seledri timun,duku,640,2,62,385,169,23,1
laksa palembang,ikan patin goreng,lodeh terong,jus apel,puding vanila,636,2,240,61,197,3,135
paha ayam panggang,bening bayam tauge,ayam kalasan,pisang bakar saus manis,tahu walik,606.2,2,406,12.3,28.4,11.5,148
ikan bawal goreng,tumis oncom,tuna bumbu rica-rica,susu murni,cempedak,793,2,85,262,400,40,6
tuna bakar bumbu bali,tekwan,daging sapi panggang,cimol,apel fuji,613.2,2,19.2,186,217,190,1
sayur pakis,ikan tuna sambal goreng,ikan panggang,sari seledri campur,bubur sumsum,791,2,1,360,356,19,55
soto ayam,bakso sapi,sayur siram bumbu tumis,klepon,kue kacang,609.1,2,87,290,14.1,79,139
tempe bacem,kari daging sapi,tumis kapri manis,salak,onde-onde,702.5,2,68,551,1.5,2,80
tempe panggang,garang asem ayam,pepes teri,jus mangga,dimsum,748,2,31,213,67,2,435
kering tempe,ikan mujair goreng,tempe mendoan,susu,jus jeruk,690,2,221,194,233,41,1
gulai pakis,babat sapi,gadon tahu jamur,jambu biji,pastel,600.9,2,352,68,18.9,2,160
kacang panjang bumbu kuning,bakso aci,sup kentang,nanas,sukun goreng,644.5,2,9.5,214,418,1,2
nasi bakar,oseng tahu,ayam panggang bumbu bacem,jus pepaya kayu manis,pastel,766,2,169,405,26.7,5.3,160
telur ceplok air acar kuning,rendang,semur daging,salad buah,nangka,642.5,2,80.5,184,370,5,3
bubur nasi,ayam bakar,kangkung bumbu kare,dadar gulung,cenil,661.3,2,126,409,29.3,67,30
tumis sawi putih,tumis oncom,jengkol balado,kurma,cenil,730,2,211,262,225,2,30
soto daging,sup telur,tahu bumbu merah,kue bugis,martabak telur,708.3,2,152,355,5.3,61,135
bubur ayam,steak daging sapi,orak arik bening soun,kue bugis isi kacang hijau,mangga kweni,716.5,2,244,373,89.5,8,2
pecel sayur,mie bakso,tahu bumbu kukus,cimol,jus jeruk,749.9,2,346,193,19.9,190,1
soto daging,kepiting panggang,tempe kukus cabe hijau,durian,kue pukis,797.5,2,152,539,7.5,2,97
pecel sayur,telur puyuh bumbu kuning,spageti udang,lemang manis isi pisang,kue nagasari,643.2,2,346,73.1,90.5,3.6,130
nasi kebuli,ayam panggang,tumis tahu kentang seledri,sari seledri timun,jus wortel,629,2,166,405,6,23,29
telur balado,ikan tuna sambal goreng,tahu bumbu merah,jus jambu,mangga kweni,725.3,2,356,360,5.3,2,2
lontong sayur,bakso sapi,saboko gurita,sup buah tropika,yogurt,610.9,2,64,290,200,36.9,20
soto kudus,tumis pepaya muda,lodeh terong,jus belimbing berembun,wajik,636.6,2,171,125,197,3.6,140
tumis genjer,tempe orek,pepes tongkol sambal dabu-dabu,batagor,buah delima,608.8,2,218,209,26.8,152,3
perkedel kentang,oseng tahu,orak arik bening soun,jus apel,onde-onde,781.5,2,204,405,89.5,3,80
tuna bakar bumbu bali,ikan tuna panggang,ikan gabus asap,jus mentimun jambu,jus alpukat,725.7,2,19.2,366,320,2.5,18
urap megono,pepes bandeng presto,ikan belida bakar,batagor,puding vanila,628.4,2,28,20.4,293,152,135
gulai pakis,tahu cabe garam,oseng tahu tomat,asinan bengkuang nanas,martabak manis,653.5,2,352,40,5.9,5.6,250
soto banjar,sayur bunga pepaya,ayam geprek,talam ubi,jus jeruk,642.3,2,82,90,460,9.3,1
kupat tahu,pecel lele,kerang asap,jus wortel tomat,bakwan,635,2,244,48,160,19,164
ketoprak,asem-asem kangkung,ayam kalasan,es kuwut,tahu gejrot,692.4,2,391,32,28.4,74,167
ayam suwir,onigiri,ayam taliwang,sup buah tropika,apel fuji,671.9,2,62,140,432,36.9,1
tahu balado,ayam bakar,nasi goreng sayur,sari seledri timun,es buah,772.2,2,266,409,52.2,23,22
soto betawi,steak daging sapi,kangkung bumbu kare,kurma,bakpia,716.3,2,194,373,29.3,2,118
soto daging,cumi hitam,gadon tahu jamur,jus mangga,pisang,644.9,2,152,471,18.9,2,1
nasi liwet,pempek adaan,pecel,durian,mangga kweni,742,2,228,487,23,2,2
telur orak-arik,pempek adaan,tempe kukus cabe hijau,kue bugis,sari apel,769.5,2,211,487,7.5,61,3
telur balado,garang asem ayam,lodeh terong,manggis,mangga kweni,775,2,356,213,197,7,2
pepes tongkol,babat sapi,daging sapi panggang,jus pepaya belimbing,seblak,671.1,2,112,68,217,7.1,267
soto betawi,ikan tongkol balado,sayur rica rodoh,rambutan,lemper,743.8,2,194,352,2.8,10,185
perkedel kentang,tahu bacem,perkedel tahu,jus buah naga,kue beras,678,2,204,69,389,7,9
nasi pecel,spageti,perkedel tahu,pir,duku,631,2,8,232,389,1,1
pecel sayur,tekwan,urab,pir,lemper,730,2,346,186,12,1,185
nasi goreng ayam,tekwan,pepes teri,susu murni,bakwan,759,2,302,186,67,40,164
kupat tahu,nasi hijau harum,ikan gabus asap,susu,mangga kweni,685,2,244,78,320,41,2
pepes ikan mas,ayam rendang,ayam kalasan,jus pepaya kayu manis,tahu sumedang,694.7,2,191,274,28.4,5.3,196
tumis pare,tahu cabe garam,kalio telur,sari buah tropika,susu kedelai,766,2,125,40,540,6,55
telur ceplok,ikan belanak goreng,ikan cakalang asap,kurma,lemper,677,2,94,220,176,2,185
nasi liwet,sup nasi ayam,spageti udang,rambutan,pempek,724.5,2,228,339,90.5,10,57
tumis buncis,tahu bacem,tempe pesmol,cimol,serabi,622.5,2,263,69,3.5,190,97
perkedel kentang,kerang panggang,daun singkong bumbu iris,jambu biji,sale pisang,797,2,204,527,3,2,61
ikan mas goreng,ayam cincang buncis,sup kentang,jeruk,ronde,755,2,88,241,418,2,6
telur balado,ikan patin goreng,mie hokian,sari seledri campur,martabak manis,763.8,2,356,61,77.8,19,250
soto banjar,steak daging sapi,orak arik bening soun,rujak buah,jus alpukat,631.5,2,82,373,89.5,69,18
semur jengkol,garang asem ayam,makaroni bumbu merah,kue apem,bolu kukus,614,2,60,213,18,100,223
pepes tongkol,sambal goreng kentang,semur daging,pisang,kue cucur,712,2,112,114,370,1,115
tumis buncis,tempe penyet,mie rebus tauge,jus stroberi,martabak telur,675.3,2,263,241,35.3,1,135
sayur bening bayam,bebek bakar,ikan belida bakar,apel,sosis solo,730,2,162,193,293,1,81
nasi goreng udang,iga bakar,tempe pesmol,kurma,yogurt,764.5,2,467,272,3.5,2,20
tempe masak wijen,sate ayam,opor ayam,pisang,susu kedelai,634.2,2,4.2,355,219,1,55
semur jengkol,tahu bacem,sop buntut,apel,jus jeruk,609,2,60,69,478,1,1
pepes ikan mas,sup nasi ayam,nasi goreng sayur,kurma,tahu walik,732.2,2,191,339,52.2,2,148
sayur pakis,tumis bayam,gulai daging sapi,talam nangka,kue nagasari,768.3,2,1,408,225,4.3,130
teri basah goreng renyah,bebek bakar,teri kacang balado,jus belimbing berembun,buah delima,645.6,2,40,193,406,3.6,3
telur dadar,rendang,ampela goreng,kue apem,tahu walik,785,2,98,184,255,100,148
nasi goreng,nasi hijau harum,tempe pesmol,kurma,bakpia,616.5,2,415,78,3.5,2,118
tumis sawi putih,ikan kuah kuning,gulai daging sapi,stroberi,jus alpukat,617,2,211,162,225,1,18
kacang panjang bumbu kuning,dendeng sapi,mie hokian,nanas,wajik,671.3,2,9.5,443,77.8,1,140
telur ceplok,ayam bakar,nasi goreng kunyit,kue bugis isi kacang hijau,wajik,686,2,94,409,35,8,140
soto daging,dendeng sapi,makaroni bumbu merah,mentimun serut,sale pisang,680.1,2,152,443,18,6.1,61
pepes tahu,bakso sapi,ayam kalasan,jus belimbing berembun,kue beras,600,2,269,290,28.4,3.6,9
ikan mas goreng,oseng tahu,gulai kambing,sup buah tropika,mangga kweni,694.9,2,88,405,163,36.9,2
pepes ayam,onigiri,sop kaki sapi,talam ubi,sawo,745.3,2,149,140,435,9.3,12
ketoprak,bubur sapi,tumis kapri manis,jus nanas,jus wortel,743.5,2,391,320,1.5,2,29
ayam suwir,tumis oncom,sayur nangka,getuk kacang hijau,tahu isi,617,2,62,262,4,19,270
perkedel kentang,tumis buncis wortel bintik,ikan belida bakar,getuk kacang hijau,wajik,682,2,204,26,293,19,140
coto makasar,sambal teri,opor ayam,salak,kue kacang,781,2,271,150,219,2,139
tumis kol,sup telur,ayam panggang bumbu bacem,puding coklat,bluberi,625.7,2,114,355,26.7,129,1
sayur bening bayam,spageti,saboko gurita,pir,cenil,625,2,162,232,200,1,30
coto makasar,ikan patin bakar,nasi goreng kunyit,rambutan,jus jeruk,689,2,271,372,35,10,1
nasi liwet,mie ayam,rendang,pisang panggang saus kurma,pisang,702.5,2,228,279,184,10.5,1
pecel sayur,ayam rendang,urab,mentimun serut,puding vanila,773.1,2,346,274,12,6.1,135
rawon,mie bakso,gulai daging sapi,rujak buah,cenil,688,2,171,193,225,69,30
ayam suwir,ikan tuna panggang,bandeng presto,jus nanas,pempek,757,2,62,366,270,2,57
telur balado,sup nasi ayam,tumis tahu kentang seledri,sari buah tropika,sale pisang,768,2,356,339,6,6,61
tempe bacem,bakso sapi,ikan bandeng goreng,buah naga,bakpia,693,2,68,290,215,2,118
tumis kangkung,gudeg,hati ayam goreng,mentimun serut,tahu walik,777.1,2,384,147,92,6.1,148
lontong sayur,tuna bumbu pepes,ikan cakalang asap,jeruk,wajik,662,2,64,280,176,2,140
ikan kembung balado,bening bayam tauge,semur telur,pepaya,pempek,766.3,2,277,12.3,417,3,57
soto ayam,nasi rames,ikan gabus asap,rujak jeruk bali,onde-onde,760.7,2,87,265,320,8.7,80
tempe masak wijen,ikan patin bakar,lodeh terong,jus wortel tomat,cenil,622.2,2,4.2,372,197,19,30
laksa palembang,tumis pepaya muda,mie hokian,sari seledri timun,kue kacang,604.8,2,240,125,77.8,23,139
tahu balado,ayam betutu,sayur nangka,jus jambu,serabi,620,2,266,251,4,2,97
bubur ketan hitam,kepiting panggang,kerang asap,kelengkeng,sari apel,779,2,77,539,160,0,3
tumis buncis,ceker mercon,sandwich ikan tuna panggang,kurma,apel fuji,721.2,2,263,302,153.2,2,1
tumis pakcoy,mie bakso,gadon tahu jamur,kurma,pie susu,603.9,2,220,193,18.9,2,170
nasi ciprat,ikan patin goreng,bandeng presto,pepaya,cireng isi ayam,606.2,2,10.2,61,270,3,262
lontong sayur,ikan lele panggang,rendang,pir,wajik,774,2,64,385,184,1,140
teri basah goreng renyah,oseng tahu,gulai ayam,lemang manis isi pisang,bubur sumsum,710.6,2,40,405,207,3.6,55
pepes ikan mas,sate ayam,sandwich ikan tuna panggang,sari buah tropika,kue pancong,757.2,2,191,355,153.2,6,52
ayam rica-rica,spageti,nasi goreng sayur,kue apem,onde-onde,702.2,2,238,232,52.2,100,80
pepes tongkol,sate padang,gulai ikan,pisang,susu kedelai,684,2,112,347,169,1,55
tumis daun pepaya,iga bakar,sayur bobor,jeruk,kue pukis,644,2,213,272,60,2,97
telur dadar,beef teriyaki,tempe pesmol,sari seledri campur,kue kacang,636.5,2,98,377,3.5,19,139
nasi uduk,mie bakso,terong balado,kue bugis,es krim,734,2,198,193,262,61,20
telur orak-arik,bakso aci,ikan gabus asap,pir,semangka,747,2,211,214,320,1,1
soto banjar,beef burger,kangkung bumbu kare,getuk kacang hijau,bluberi,703.3,2,82,572,29.3,19,1
telur dadar,gudeg,ikan gurame asam manis,sari buah tropika,bluberi,761,2,98,147,509,6,1
tumis kol,sup nasi ayam,tempe goreng tepung,jambu biji,cireng isi ayam,793,2,114,339,76,2,262
kering tempe,sate usus,gadon tahu jamur,kelengkeng,buah delima,747.9,2,221,505,18.9,0,3
soto daging,ayam betutu,ikan panggang,mentimun serut,es krim,785.1,2,152,251,356,6.1,20
soto kudus,babat sapi,pepes tongkol sambal dabu-dabu,jus nanas,dimsum,702.8,2,171,68,26.8,2,435
tumis kol,ayam cincang buncis,ayam taliwang,jambu biji,tape singkong,796,2,114,241,432,2,7
soto banjar,sate padang,ikan belida bakar,mangga,yogurt,744,2,82,347,293,2,20
bubur kacang hijau,bakso aci,saboko gurita,rambutan,seblak,737,2,46,214,200,10,267
